Statistics on file: Z:\data\thesis\thesis\allthesistext.txt
Word separators: "	 ,;.!?:'"-()[]{}«»<>@\/&~#$%%^_`¡´¿=*"
Sentences separators: ".!?"

Number of paragraphs: 4185
Number of words: 58048
Number of sentences: 7599
Number of printable characters (including spaces): 358705
Number of spaces: 46543
Number of tabulations: 1469
Number of Carriage Return: 0
Number of Line Feed: 4185
Number of non-printable characters (others than the above): 0
Number of words per sentence: 7.64
Number of syllables per word (approximate): 1.75
Flesch index: 51.13

Start of list:

+	40
+0	7
+0100	157
+0200	90
+1	3
+15	1
+700	2
0	299
0+	2
00	9
000	14
0004	16
000445	1
0032	1
0038	1
005	1
007	1
008	1
01	75
02	18
0202115	1
03	55
04	21
04930	1
05	21
06	14
0602534	1
0610128	1
0633	1
07	19
0701786	1
0704	1
0707	1
0710	2
0712	1
075	1
08	19
0851	1
0851N	1
09	82
090172	1
091	1
0938	1
1	313
1+	3
10	130
100	35
1007	3
100s	2
1011	1
1011P	4
1016	2
1019	1
103	3
1038	1
1046	1
1047	1
1047B	3
1051	14
1053	1
107	1
107B	3
10829	1
1083	1
10830	45
1086	8
1087	1
10875	4
1087P	3
1098	1
1098J	2
1099	1
10V	1
10s	1
11	122
1109	1
1109L	3
111	2
1111	1
1114	1
112	5
1120	1
1126	1
1131	1
1131A	6
1133	1
1133T	4
1139	1
114	1
1143304	1
1146	2
1151	1
1151P	6
1158	1
1183	2
1183T	3
1189	2
119	1
1191	1
1191S	3
1192	1
1192T	3
1196	1
1198	1
119L	3
12	138
120	5
123	7
1237	4
123H	5
125	1
12510	1
1277	2
1277H	3
1283	2
129	4
13	26
130	2
136	2
1365	1
13D	3
14	30
140	1
1427	1
1427F	3
143	5
1435	1
146	1
1468	1
14cm	2
15	77
150	7
150s	1
154	2
155	3
155S	3
157	1
15th	1
16	81
160	2
167767	1
169	1
169R	3
17	70
170	3
171	3
172	1
172103	1
1734	1
1734L	3
1740	1
177	3
177578	1
177S	3
18	40
180	4
183	2
184	1
1868	1
187	1
1877	1
187V	4
19	19
191	2
1917	3
191T	3
191V	6
193	1
194	1
195	3
195D	3
196	2
1960	1
1960lr	5
1964	1
1964PhDT	4
1965	1
1965JOSA	3
1966	1
1968	1
1968SoPh	1
1969	8
1969SoPh	8
1970	1
1970A	4
1971SPh	2
1972	1
1972ARA	1
1973	1
1973JOSA	4
1974	4
1974SoPh	5
1975	3
1975MNRAS	2
1975SPh	2
1975SoPh	4
1976	6
1976ApJ	3
1976JOSA	3
1977	2
1977ASSL	5
1977OptCo	4
1977P	1
1979	4
1979A	3
1981	5
1981A	3
1982	1
1982SoPh	6
1983	8
1983A	3
1983OptL	3
1984	2
1984fk	3
1985	1
1985spit	3
1987	2
1989	1
1989ApJ	6
199	1
1990	3
1990A	4
1990SPIE	3
1990SoPh	3
1991	4
1991ApJ	3
1992	5
1992A	10
1992ApJ	3
1992lest	3
1993	5
1993A	3
1993PhDT	3
1993SoPh	3
1994	3
1994isp	5
1995	8
1995A	7
1995itsa	1
1996	2
1996A	3
1996ApJ	3
1997	4
1997A	3
1997ApJ	4
1998	3
1998ApJ	2
1999	11
1999A	3
1999ASPC	1
1999lr	9
1999sp	1
1V	3
1Y	3
1cm	5
1g	1
2	208
2+	2
2+B	1
2+c	2
2+v	1
20	56
200	10
2000	10
20000478	1
2000A	6
2000SoPh	1
2001	7
2001A	7
2001MNRAS	2
2002	6
20020436	1
2002A	3
2002RvMP	3
2002lr	2
2002qy	4
2003	13
20030220	1
20031643	1
20034501	1
20035794	1
2003A	6
2003PhDT	3
2003SPIE	6
2003lr	2
2004	9
20040173	1
2004A	17
2004Natur	3
2005	35
20052935	1
20053918	1
20054487	1
2005A	6
2005ApJ	3
2005ESASP	25
2005SoPh	6
2005kl	1
2006	21
200600018	1
2006A	16
2006ApJ	7
2006ij	1
2007	299
20077707	1
20077739	1
20077936	1
2007A	10
2007ASPC	10
2007AdSpR	3
2007ApJ	12
2007Sci	3
2007SoPh	5
2007arXiv0710	3
2007arXiv0712	1
2007fk	6
2007kx	1
2007msfa	16
2008	7
200A	4
200km	1
207	1
207N	3
209	5
20W	3
21	28
2100	1
211	1
212	1
215	1
217	2
217T	3
22	38
2203	1
2203C	1
228	7
2280	1
23	25
230	5
236	1
236G	4
237	1
24	28
240	1
2400	1
242	1
